                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1803,                 14.641,                 7.1563,                 0.0001,                0.00336,                  6e-05,                  1e-05,                 7.9656,                 12.098,                  8.346,             0.00041152,             0.00041152,             0.00041152
                      2,                 7.2944,                 13.894,                 7.5791,                0.00016,                0.00336,                0.00011,                  2e-05,                 7.8332,                  12.29,                 8.4322,             0.00082546,             0.00082546,             0.00082546
                      3,                 7.6763,                 13.107,                 7.5661,                0.00052,                0.00839,                0.00028,                  8e-05,                  8.195,                 42.102,                 17.859,              0.0012366,              0.0012366,              0.0012366
                      4,                 7.1577,                 12.937,                 6.9143,                0.00062,                0.00362,                0.00016,                  6e-05,                   8.06,                 49.385,                 23.468,              0.0012376,              0.0012376,              0.0012376
                      5,                 7.0522,                  11.81,                 7.2016,                0.00102,                0.00503,                0.00036,                0.00011,                 8.2897,                 26.079,                 21.011,              0.0012335,              0.0012335,              0.0012335
                      6,                 7.2432,                 10.992,                 7.2608,                0.25108,                0.02013,                0.00052,                0.00015,                 7.7261,                 284.34,                 23.133,              0.0012294,              0.0012294,              0.0012294
                      7,                 6.5856,                 11.291,                 6.9443,                0.75714,                0.00168,                0.00064,                0.00019,                 7.7264,                 232.74,                 17.871,              0.0012252,              0.0012252,              0.0012252
                      8,                 6.8246,                  10.62,                 6.9129,                0.75095,                0.01678,                0.00046,                0.00014,                 7.7515,                 398.14,                 17.477,              0.0012211,              0.0012211,              0.0012211
                      9,                 7.0409,                 10.413,                 6.7435,                0.75084,                 0.0151,                0.00047,                0.00013,                 7.8359,                 386.74,                 19.014,               0.001217,               0.001217,               0.001217
                     10,                 7.1035,                 10.038,                 6.6242,                0.75195,                0.01342,                0.00056,                0.00016,                 7.7102,                 56.059,                 13.997,              0.0012129,              0.0012129,              0.0012129
                     11,                 6.9214,                 9.2721,                 6.5244,                0.75301,                0.01007,                0.00088,                0.00025,                 7.6227,                 18.456,                  9.494,              0.0012087,              0.0012087,              0.0012087
                     12,                 6.6681,                  9.266,                 6.0534,                0.75265,                0.00671,                0.00083,                0.00022,                 7.7626,                  13.83,                 9.3107,              0.0012046,              0.0012046,              0.0012046
                     13,                 6.8772,                 9.1138,                 5.9716,                0.75622,                0.00839,                0.00133,                0.00037,                 7.6441,                 16.962,                 9.4367,              0.0012005,              0.0012005,              0.0012005
                     14,                 6.5554,                 8.5511,                 5.8803,                0.00198,                0.06544,                0.00259,                0.00071,                 7.1215,                 8.1227,                 6.9004,              0.0011964,              0.0011964,              0.0011964
                     15,                 6.7194,                  8.363,                 5.7569,                 0.7675,                0.00503,                0.00259,                0.00077,                 7.3739,                 10.442,                 6.7357,              0.0011922,              0.0011922,              0.0011922
                     16,                 6.6389,                 8.0908,                 5.5475,                0.75298,                0.01174,                 0.0015,                0.00055,                 7.2072,                 16.794,                 6.9104,              0.0011881,              0.0011881,              0.0011881
                     17,                 6.4774,                 7.9236,                   5.63,                0.00184,                0.06711,                0.00142,                0.00046,                 7.0654,                 53.596,                 6.4982,               0.001184,               0.001184,               0.001184
                     18,                  6.455,                 7.9225,                 5.4146,                0.00567,                0.08725,                0.00395,                0.00086,                 7.0894,                 26.469,                 6.4086,              0.0011799,              0.0011799,              0.0011799
                     19,                 6.4758,                 8.0212,                 5.2675,                 0.0046,                0.08893,                0.00324,                 0.0009,                  7.015,                 9.9223,                 6.2717,              0.0011757,              0.0011757,              0.0011757
                     20,                  6.591,                 7.4284,                 5.1722,                0.00515,                0.09255,                0.00371,                0.00104,                 6.9268,                 17.468,                 7.0628,              0.0011716,              0.0011716,              0.0011716
                     21,                 6.0648,                 7.5134,                 4.9521,                0.00796,                0.10819,                0.00562,                 0.0012,                 6.8125,                 8.7267,                 5.8358,              0.0011675,              0.0011675,              0.0011675
                     22,                 6.4297,                 7.7526,                 5.0365,                0.00447,                0.10571,                0.00409,                0.00106,                 6.6532,                 7.2034,                 5.3792,              0.0011634,              0.0011634,              0.0011634
                     23,                 6.4871,                 7.1396,                 4.8793,                0.00641,                0.12752,                0.00576,                0.00126,                 6.5832,                 6.8507,                 5.2634,              0.0011593,              0.0011593,              0.0011593
                     24,                 6.0814,                 7.2901,                 4.7071,                 0.0047,                0.10906,                0.00642,                0.00172,                 6.5828,                 6.7511,                 5.2169,              0.0011551,              0.0011551,              0.0011551
                     25,                 6.3523,                 6.9765,                 4.7205,                0.51433,                0.04362,                0.01298,                0.00393,                 6.4148,                 6.5534,                 5.0251,               0.001151,               0.001151,               0.001151
                     26,                 6.4094,                 6.7698,                 4.7271,                 0.7762,                0.02517,                0.01209,                0.00302,                 6.5691,                 6.5316,                 4.8291,              0.0011469,              0.0011469,              0.0011469
                     27,                 6.0147,                 7.2448,                 4.5514,                0.77373,                0.02013,                0.01287,                0.00362,                 6.5151,                 6.5502,                 4.7872,              0.0011428,              0.0011428,              0.0011428
                     28,                 6.0398,                 6.9086,                 4.5726,                0.00925,                0.15208,                0.01516,                0.00453,                 6.3673,                 6.6277,                 5.0215,              0.0011386,              0.0011386,              0.0011386
                     29,                 6.2638,                 6.6842,                 4.4259,                0.51445,                0.04195,                0.01442,                0.00428,                 6.4301,                 6.3866,                 4.7558,              0.0011345,              0.0011345,              0.0011345
                     30,                 5.8847,                 6.8329,                 4.3804,                0.76959,                0.03523,                0.01211,                0.00368,                 6.5211,                 7.0008,                 4.7266,              0.0011304,              0.0011304,              0.0011304
                     31,                 6.2058,                 6.4718,                 4.2994,                0.76667,                 0.0302,                0.01067,                0.00333,                 6.6207,                 7.2137,                 4.9333,              0.0011263,              0.0011263,              0.0011263
                     32,                 6.3775,                 6.8812,                 4.3853,                0.76839,                 0.0302,                0.01105,                0.00382,                 6.5287,                 6.9266,                 4.7266,              0.0011221,              0.0011221,              0.0011221
                     33,                 6.1078,                 6.5558,                 4.3025,                0.25944,                0.08557,                0.01392,                0.00397,                 6.3356,                 7.5663,                  4.514,               0.001118,               0.001118,               0.001118
